Source : https://data.sncf.com
Thème : Régularité des TGV
Périodicité : mensuelle
Début : 2012
Fin : 2015


La régularité est calculée lors de l’arrivée du train à la dernière gare de son parcours (terminus). Ce mode de calcul, qui n’intègre pas les gares intermédiaires, propose le retard cumulé sur l’ensemble d’un trajet.
L’indicateur utilisé est celui de la « régularité composite » : un train est considéré en retard s’il arrive cinq minutes après son heure prévue pour un trajet de moins de 1h30, dix minutes pour un trajet de 1h30 à 3h,
et quinze minutes pour un trajet de plus de 3h.Un train supprimé avant 16h la veille de sa circulation ne sera pas comptabilisé. En revanche, si l’annonce de sa suppression n’a pu être faite la veille avant 16h, 
le train sera bien comptabilisé comme un train supprimé, que cette suppression soit totale ou partielle (le train a effectué qu’une partie de son parcours).

  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 | Année| Mois | Id Trajet | Id Gare de départ| Gare de départ                      | Id Gare d'arrivée| Gare d'arrivée                      | Nombre de TGV programmés | Nombre de TGV annulés | Nombre de TGV en retard|
*| 2012 | 2    | 011       | 011              | CHAMBERY CHALLES LES EAUX           | 032              | PARIS LYON                          | 277                      | 1                     | 37                     |
*| 2012 | 2    | 014       | 014              | DUNKERQUE                           | 034              | PARIS NORD                          | 102                      | 0                     | 11                     |
*| 2012 | 2    | 053       | 032              | PARIS LYON                          | 018              | LE CREUSOT MONTCEAU MONTCHANIN      | 197                      | 0                     | 57                     |
*| 2012 | 2    | 020       | 020              | LILLE                               | 021              | LYON PART DIEU                      | 287                      | 3                     | 52                     |
*| 2012 | 2    | 021       | 020              | LILLE                               | 023              | MARSEILLE ST CHARLES                | 149                      | 1                     | 48                     |
*| 2012 | 2    | 054       | 032              | PARIS LYON                          | 021              | LYON PART DIEU                      | 602                      | 2                     | 45                     |
*| 2012 | 2    | 055       | 032              | PARIS LYON                          | 022              | MACON LOCHE                         | 181                      | 0                     | 20                     |
*| 2012 | 2    | 066       | 033              | PARIS MONTPARNASSE                  | 003              | ANGOULEME                           | 306                      | 0                     | 69                     |
*| 2012 | 2    | 036       | 027              | NANCY                               | 031              | PARIS EST                           | 279                      | 8                     | 26                     |
*| 2012 | 2    | 039       | 029              | NICE VILLE                          | 032              | PARIS LYON                          | 153                      | 1                     | 32                     |
